Element, data.x, data.y, data.z, data.w
0, BF800000, B0F687E2, 33B9E9AD, 00000000
1, ABB0D600, 3F7FF1F5, 3CA99474, 00000000
2, 33B9F3E5, BCA99474, 3F7FF1F4, 00000000
3, B2741BE8, C396ADAD, C0F3DABE, 3F800000
4, BF800000, ABB0D1B3, 33B9F3E6, 00000000
5, B0F687E3, 3F7FF1F5, BCA99475, 00000000
6, 33B9E9AF, 3CA99476, 3F7FF1F7, 00000000
7, 33E162E6, 4396B99A, 3FB0B537, 3F800000
8, 3FE45AD5, 00000000, 00000000, 00000000
9, 00000000, C04AFB69, 00000000, 00000000
10, B9B33421, BA0D9367, 37260000, BF800000
11, 00000000, 00000000, 3DCCCD51, 00000000
12, 3F0F7EF9, 00000000, 00000000, 00000000
13, 00000000, BEA16ED8, 00000000, 00000000
14, 00000000, 00000000, 00000000, 411FFF99
15, B948E601, 39328E01, BF800000, 38CF7F7A
16, BFE45AD5, 31C1DE12, 2B711B0C, B3B9E9AD
17, B6ED6AAF, C04AF076, 345BEC86, BCA99474
18, B9B31590, 3D855A97, 3725F6E4, BF7FF1F4
19, 3B2AB32E, 446EF24C, 3DCCA5C9, 40F3DABE
20, BFE45AD5, 31C1DE12, 2B711B0C, B3B9E9AD
21, B6ED6AAF, C04AF076, 345BEC86, BCA99474
22, B9B31590, 3D855A97, 3725F6E4, BF7FF1F4
23, 00000000, 00000000, 3DCCCD51, 00000000
24, BF0F7EF9, AB4639AC, 335076F1, 00000000
25, 301B7634, BEA165FD, 3BD5DF95, 00000000
26, 358CDD75, 453C6787, 415CE1F7, 411FFF99
27, 3948CEC5, 3C184DAA, BF7FE93E, 38CF7F7A
28, BFE45AD5, 31C37954, 2B728EE0, B3B9E9AD
29, AC1DBD56, C04AF046, 345D3FAF, BCA99474
30, 3425DF32, 3D8675AD, 3726F6D6, BF7FF1F4
31, B2D9BF78, 446EF208, 3DCCA58D, 40F3DABE
32, BFE45AD5, 31C37954, 2B728EE0, B3B9E9AD
33, AC1DBD56, C04AF046, 345D3FAF, BCA99474
34, 3425DF32, 3D8675AD, 3726F6D6, BF7FF1F4
35, 00000000, 00000000, 3DCCCD52, 00000000
36, BF0F7EF9, AB463024, 335076F1, 211FFF98
37, 301B7635, BEA165FD, 3BD5DF96, 00000000
38, 358CDD73, 453C6785, 415CE1F5, 411FFF98
39, B3B9E3F0, 3C187535, BF7FE8F5, 38D0BF78
40, 3F800000, 00000000, 00000000, 00000000
41, 00000000, 3F800000, 00000000, 00000000
42, 00000000, 00000000, 3F800000, 00000000
43, 00000000, 00000000, 00000000, 3F800000
44, 33E162E4, 4396B99A, 3FB0B536, 00000000
45, BFE45AD9, 319075CF, 2B320404, B38943DE
46, 36CB77BF, C04AF04E, 345BE751, BCA99070
47, 39999EBD, 3D864A0E, 3725F6E7, BF7FF1F8
48, BB124B58, 446EF215, 3DCCA5CA, 40F3D694
49, BFE45AD9, 319075CF, 2B320404, B38943DE
50, 36CB77BF, C04AF04E, 345BE751, BCA99070
51, 39999EBD, 3D864A0E, 3725F6E7, BF7FF1F8
52, 00000000, 80000000, 3DCCCD51, 00000000
53, BFE45AD9, 3190A130, 2B33168C, B38943DE
54, ACF1B6CD, C04AF046, 345D3A72, BCA99070
55, 33F4EFCD, 3D86727E, 3726F6D9, BF7FF1F8
56, 3308CF7D, 446EF20A, 3DCCA58E, 40F3D694
57, BFE45AD9, 3190A130, 2B33168C, B38943DE
58, ACF1B6CD, C04AF046, 345D3A72, BCA99070
59, 33F4EFCD, 3D86727E, 3726F6D9, BF7FF1F8
60, 00000000, 80000000, 3DCCCD52, 00000000
61, BF0F7EF7, AC17DF9B, 3319EA75, 216FFF66
62, 2FE60727, BEA165FC, 3BD5DA7F, 299FFF99
63, 358D1D1B, 453C6788, 415CE4C6, 411FFF99
64, B92C4125, 3C15F1AC, BF7FE907, 38CF7F79
65, BF0F7EF7, AC17E4AC, 3319EA75, 209FFF98
66, 2FE60CBB, BEA165FD, 3BD5DA82, 00000000
67, 358CDF81, 453C6786, 415CE4BD, 411FFF98
68, B3893E1B, 3C187D48, BF7FE8F1, 38D0BF78
69, 3F800002, 3063EAE1, 2A0E4ED8, B25A2610
70, AF903E20, 3F800000, 2CD44000, B522A000
71, 2E00A000, 3A800000, 3F800000, 3A340000
72, 332D93CE, 36CC4000, AC400000, 3F800002
73, BF8B8A10, 316EE4DF, 2B728EE2, B3B9E9AF
74, ABC0C4F3, BFF80447, 345D3FB1, BCA99475
75, 33CAB76E, 3D2453AC, 3726F6D8, BF7FF1F7
76, B2850EB7, 441202C7, 3DCCA58D, 40F3DABF
77, BF6AD474, ABA2326B, 33AA9342, 00000000
78, 307E6967, BF041042, 3C2F003B, 00000000
79, 358CDD77, 453C6786, 415CE1F3, 411FFF98
80, B3B9E3EF, 3C187538, BF7FE8F2, 38D0BF78
81, 33E16638, 4396B99A, 3FB0B77A, 00000000
82, 45200000, 44B40000, 39CCCCCD, 3A360B61
83, 45200000, 44B40000, 39CCCCCD, 3A360B61
84, 47C34F80, 3F800000, 411FFF97, 38D1B717
85, BF800000, 3DCCCCCD, 461C4000, 38D1B717
86, 00000000, 00000000, 00000000, 00000000
87, 45200000, 44B40000, 3F800CCD, 3F8016C1
88, 00000000, 00000000, 00000000, 00000000
89, 00000000, 00000000, 00000000, 00000000
90, 00000000, 00000000, 00000000, 00000000
91, 00000000, 00000000, 00000000, 00000000
92, 00000000, 00000000, 00000000, 00000000
93, 00000000, 00000000, 00000000, 00000000
94, 00000000, 00000000, 00000000, 00000000
95, 00000000, 00000000, 00000000, 00000000
96, 00000000, 00000000, 00000000, 00000000
97, 00000000, 00000000, 00000000, 00000000
98, 00000000, 00000000, 00000000, 00000000
99, 00000000, 00000000, 00000000, 00000000
100, 00000000, 3F100000, 40E00000, 3F800000
101, BEE00000, 3EC71C72, B9333333, 398D9712
102, 3FAA8AB8, 41D52D66, 42552D66, 3EE7BE8C
103, BE40B0DA, 3EBD3F9F, 3F2FD897, 3F7F97E7
104, BF7B6D3D, 3F6DDEC8, 3F3A0C80, 3D66C54C
105, 3C88A51A, 426FCDD3, 3C88A51C, 426FCDCF
106, 41D52D66, 3F7F97E7, 3D66C54C, 3EE7BE8C
107, 41D50B3D, 3F7F5138, 3D95793E, 3EDF343A
108, BF800000, 3F000000, 00000000, 0000028F
109, 3F800000, 00000000, 00000000, 00000000
110, 00000000, 00007080, 0000B080, 0000BE90
111, 3E93505C, 3E93505C, 3F800000, 00000000
112, 3F800000, 3F800000, 3F800000, 3F800000
113, 40E00000, 00000000, 00000000, 00000000
114, 3E800000, 3F43474D, 33800000, 3F7FFFFF
115, 3E69DB99, 3F084A29, 3E69DB99, 3F086006
116, C4318736, 436B2C52, C48FDB33, 3EB33333
117, C43211DD, 436AE4C2, C48F98CB, 3EB33333
118, C431725E, 436B3AF5, C4903AA2, 3EB33333
119, C4323370, 436AF515, C49005A2, 3EB33333
120, 3FDEB852, 3FD47AE1, 3FD47AE1, 3FE66666
121, 00000000, 00000000, 00000000, 42200000
122, 00000000, 00000000, 00000000, 00000000
123, 00000000, 00000000, 00000000, 00000000
124, 00000000, 00000000, 00000000, 00000000
125, 00000000, 00000000, 00000000, 00000000
126, 00000000, 00000000, 00000000, 00000000
127, 00000000, 00000000, 00000000, 00000000
128, 00000000, 00000000, 00000000, 00000000
129, 00000000, 3F800000, 00000000, 00000000
130, 00000000, 00000000, 00000000, 00000000
131, 00000000, 00000000, 00000000, 00000000
132, 00000000, 00000000, 00000000, 00000000
133, 3F800000, 3BDAA1C2, 00000000, 00000000
