Name,Value,Byte Offset,Type
_child0,"0.00",0,float
_child1,"0.00",4,float
_child2,"0.00",8,float
_child3,"1.00",12,float
_child4,"0.00",16,float
_child5,"0.00",20,float
_child6,"0.00",24,float
_child7,"0.00",28,float
_child8,"0.00",32,float
_child9,"0.00",36,float
_child10,"0.00",40,float
_child11,"0.00",44,float
_child12,"0.00",48,float
_child13,"1.00",52,float
_child14,"1.00",56,float
_child15,"1.00",60,float
_child16,"0.35",64,float
_child17,"4.00",68,float
_child18,"0.50",72,float
_child19,"1.10",76,float
_child20,"1.00, 1.00, 1.00, 1.00",80,float4
_child21,"0.00, 0.00, 0.00, 0.00",96,float4
_child22,"1.00, 1.00, 1.00, 0.00",112,float4
_child23,"1.00, 1.00, 1.00, 1.00",128,float4
_child24,"1.00, 1.00, 0.00, 0.00",144,float4
_child25,"0.00, 0.00, 0.00, 0.00",160,float4
_child26,"0.00",176,float
_child27,"1.00",180,float
_child28,"0.00",184,float
_child29,"0.00",188,float
_child30,"0.70",192,float
_child31,"0.712",196,float
_child32,"2.00",200,float
_child33,"3.00",204,float
_child34,"0.50",208,float
_child35,"0.00",212,float
_child36,"0.00",216,float
_child37,"0.00",220,float
_child38,"0.27706, 0.06527, 0.0038, 1.00",224,float4
_child39,"300.00",240,float
_child40,"0.58",244,float
_child41,"0.93",248,float
_child42,"0.30",252,float
_child43,"1.70",256,float
_child44,"1.00",260,float
_child45,"0.00",264,float
_child46,"0.00",268,float
_child47,"10.00, 1.00, 0.00, 0.00",272,float4
_child48,"0.00",288,float
_child49,"0.00",292,float
_child50,"0.00",296,float
_child51,"0.00",300,float
_child52,"0.00, 0.00, 0.00, 0.00",304,float4
_child53,"0.00, 0.00, 0.00, 0.00",320,float4
_child54,"1.00, 1.00, 0.00, 0.00",336,float4
_child55,"0.00, 0.00, 0.00, 0.00",352,float4
_child56,"0.00, 0.00, 0.00, 1.00",368,float4
_child57,"0.00, 1.00, 0.00, 0.00",384,float4
_child58,"0.00",400,float
_child59,"0.00",404,float
_child60,"0.00",408,float
_child61,"0.00",412,float
_child62,"0.00",416,float
_child63,"0.00",420,float
_child64,"0.00",424,float
_child65,"0.00",428,float
