Name,Value,Byte Offset,Type
_child0,,0,float4x4 (row_major)
_child0.row0,"-1.00, -1.79375E-09, 8.65724E-08, 0.00",,float4
_child0.row1,"-1.25649E-12, 0.99979, 0.0207, 0.00",,float4
_child0.row2,"8.65910E-08, -0.0207, 0.99979, 0.00",,float4
_child0.row3,"-1.42090E-08, -301.35684, -7.62045, 1.00",,float4
_child1,,64,float4x4 (row_major)
_child1.row0,"-1.00, -1.25638E-12, 8.65910E-08, 0.00",,float4
_child1.row1,"-1.79375E-09, 0.99979, -0.0207, 0.00",,float4
_child1.row2,"8.65724E-08, 0.0207, 0.99979, 0.00",,float4
_child1.row3,"1.04954E-07, 301.45001, 1.38053, 1.00",,float4
_child2,,128,float4x4 (row_major)
_child2.row0,"1.78402, 0.00, 0.00, 0.00",,float4
_child2.row1,"0.00, -3.17159, 0.00, 0.00",,float4
_child2.row2,"-0.00034, -0.00054, 9.89437E-06, -1.00",,float4
_child2.row3,"0.00, 0.00, 0.10, 0.00",,float4
_child3,,192,float4x4 (row_major)
_child3.row0,"0.56053, 0.00, 0.00, 0.00",,float4
_child3.row1,"0.00, -0.3153, 0.00, 0.00",,float4
_child3.row2,"0.00, 0.00, 0.00, 9.9999",,float4
_child3.row3,"-0.00019, 0.00017, -1.00, 0.0001",,float4
_child4,,256,float4x4 (row_major)
_child4.row0,"-1.78402, 5.64229E-09, 8.56579E-13, -8.65724E-08",,float4
_child4.row1,"-7.07557E-06, -3.17093, 2.04820E-07, -0.0207",,float4
_child4.row2,"-0.00034, 0.06511, 9.89225E-06, -0.99979",,float4
_child4.row3,"0.0026, 955.78589, 0.09993, 7.62045",,float4
_child5,,320,float4x4 (row_major)
_child5.row0,"-1.78402, 5.64229E-09, 8.56579E-13, -8.65724E-08",,float4
_child5.row1,"-7.07557E-06, -3.17093, 2.04820E-07, -0.0207",,float4
_child5.row2,"-0.00034, 0.06511, 9.89225E-06, -0.99979",,float4
_child5.row3,"0.00, 0.00, 0.10, 0.00",,float4
_child6,,384,float4x4 (row_major)
_child6.row0,"-0.56053, -7.04238E-13, 4.85370E-08, 0.00",,float4
_child6.row1,"5.65566E-10, -0.31523, 0.00653, 0.00",,float4
_child6.row2,"1.04953E-06, 3014.47046, 13.80517, 9.9999",,float4
_child6.row3,"0.00019, 0.0093, -0.99965, 0.0001",,float4
_child7,,448,float4x4 (row_major)
_child7.row0,"-1.78402, 5.68904E-09, 8.61739E-13, -8.65724E-08",,float4
_child7.row1,"-2.24161E-12, -3.17092, 2.06054E-07, -0.0207",,float4
_child7.row2,"1.54480E-07, 0.06565, 9.95184E-06, -0.99979",,float4
_child7.row3,"-2.53492E-08, 955.78174, 0.09993, 7.62045",,float4
_child8,,512,float4x4 (row_major)
_child8.row0,"-1.78402, 5.68904E-09, 8.61739E-13, -8.65724E-08",,float4
_child8.row1,"-2.24161E-12, -3.17092, 2.06054E-07, -0.0207",,float4
_child8.row2,"1.54480E-07, 0.06565, 9.95184E-06, -0.99979",,float4
_child8.row3,"0.00, 0.00, 0.10, 0.00",,float4
_child9,,576,float4x4 (row_major)
_child9.row0,"-0.56053, -7.04105E-13, 4.85370E-08, 5.42096E-19",,float4
_child9.row1,"5.65567E-10, -0.31523, 0.00653, 0.00",,float4
_child9.row2,"1.04953E-06, 3014.46997, 13.80517, 9.9999",,float4
_child9.row3,"-8.65620E-08, 0.00931, -0.99965, 0.0001",,float4
_child10,,640,float4x4 (row_major)
_child10.row0,"1.00, 0.00, 0.00, 0.00",,float4
_child10.row1,"0.00, 1.00, 0.00, 0.00",,float4
_child10.row2,"0.00, 0.00, 1.00, 0.00",,float4
_child10.row3,"0.00, 0.00, 0.00, 1.00",,float4
_child11,"1.04954E-07, 301.45001, 1.38053, 0.00",704,float4
_child12,,720,float4x4 (row_major)
_child12.row0,"-1.78402, 4.20434E-09, 6.32439E-13, -6.39190E-08",,float4
_child12.row1,"6.06381E-06, -3.17092, 2.04801E-07, -0.0207",,float4
_child12.row2,"0.00029, 0.06557, 9.89225E-06, -0.99979",,float4
_child12.row3,"-0.00223, 955.78253, 0.09993, 7.61994",,float4
_child13,,784,float4x4 (row_major)
_child13.row0,"-1.78402, 4.20434E-09, 6.32439E-13, -6.39190E-08",,float4
_child13.row1,"6.06381E-06, -3.17092, 2.04801E-07, -0.0207",,float4
_child13.row2,"0.00029, 0.06557, 9.89225E-06, -0.99979",,float4
_child13.row3,"0.00, 0.00, 0.10, 0.00",,float4
_child14,,848,float4x4 (row_major)
_child14.row0,"-1.78402, 4.20928E-09, 6.36249E-13, -6.39190E-08",,float4
_child14.row1,"-6.86993E-12, -3.17092, 2.06035E-07, -0.0207",,float4
_child14.row2,"1.14058E-07, 0.06565, 9.95184E-06, -0.99979",,float4
_child14.row3,"3.18537E-08, 955.78186, 0.09993, 7.61994",,float4
_child15,,912,float4x4 (row_major)
_child15.row0,"-1.78402, 4.20928E-09, 6.36249E-13, -6.39190E-08",,float4
_child15.row1,"-6.86993E-12, -3.17092, 2.06035E-07, -0.0207",,float4
