VTX, IDX, _input0.x, _input0.y, _input0.z, _input2.x, _input2.y, _input2.z, _input3.x, _input3.y, _input3.z, _input3.w, _input1.x, _input1.y, _input4.x, _input4.y, _input5.x, _input5.y, _input5.z, _input6.x, _input6.y, _input6.z, _input6.w, _input7.x, _input7.y, _input7.z, _input7.w
0, 0, -0.00002, -0.12294, 1.66633, 0.38504, 0.41466, -0.8245, -0.89493, -0.05054, -0.44334, -1.00, 0.53223, 0.99457, 0.35379, -0.09886, -0.00002, -0.12294, 1.66633, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
1, 1, -0.00001, -0.12399, 1.66578, 0.38504, 0.41466, -0.8245, -0.89458, -0.05193, -0.44388, -1.00, 0.53223, 0.99665, 0.31189, 0.91949, -0.00001, -0.12399, 1.66578, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
2, 2, -0.00795, -0.1246, 1.66178, 0.59016, 0.30922, -0.74572, -0.76257, -0.08962, -0.64066, -1.00, 0.54333, 0.99665, 0.00559, 0.9011, -0.00795, -0.1246, 1.66178, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
3, 0, -0.00002, -0.12294, 1.66633, 0.38504, 0.41466, -0.8245, -0.89493, -0.05054, -0.44334, -1.00, 0.53223, 0.99457, 0.35379, -0.09886, -0.00002, -0.12294, 1.66633, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
4, 2, -0.00795, -0.1246, 1.66178, 0.59016, 0.30922, -0.74572, -0.76257, -0.08962, -0.64066, -1.00, 0.54333, 0.99665, 0.00559, 0.9011, -0.00795, -0.1246, 1.66178, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
5, 3, -0.00804, -0.12338, 1.66234, 0.52993, 0.34411, -0.77509, -0.80524, -0.08251, -0.58718, -1.00, 0.54333, 0.99457, -0.00571, -0.0422, -0.00804, -0.12338, 1.66234, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
6, 4, -0.0139, -0.12431, 1.6554, 0.73342, 0.11441, -0.67007, -0.66395, -0.09085, -0.74224, -1.00, 0.5545, 0.99457, 0.00136, 0.01728, -0.0139, -0.12431, 1.6554, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
7, 3, -0.00804, -0.12338, 1.66234, 0.52993, 0.34411, -0.77509, -0.80524, -0.08251, -0.58718, -1.00, 0.54333, 0.99457, -0.00571, -0.0422, -0.00804, -0.12338, 1.66234, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
8, 2, -0.00795, -0.1246, 1.66178, 0.59016, 0.30922, -0.74572, -0.76257, -0.08962, -0.64066, -1.00, 0.54333, 0.99665, 0.00559, 0.9011, -0.00795, -0.1246, 1.66178, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
9, 4, -0.0139, -0.12431, 1.6554, 0.73342, 0.11441, -0.67007, -0.66395, -0.09085, -0.74224, -1.00, 0.5545, 0.99457, 0.00136, 0.01728, -0.0139, -0.12431, 1.6554, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
10, 2, -0.00795, -0.1246, 1.66178, 0.59016, 0.30922, -0.74572, -0.76257, -0.08962, -0.64066, -1.00, 0.54333, 0.99665, 0.00559, 0.9011, -0.00795, -0.1246, 1.66178, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
11, 5, -0.01376, -0.12548, 1.65541, 0.73351, 0.11354, -0.67013, -0.66413, -0.08995, -0.74219, -1.00, 0.5545, 0.99665, 0.00909, 0.84666, -0.01376, -0.12548, 1.65541, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
12, 5, -0.01376, -0.12548, 1.65541, 0.73351, 0.11354, -0.67013, -0.66413, -0.08995, -0.74219, -1.00, 0.5545, 0.99665, 0.00909, 0.84666, -0.01376, -0.12548, 1.65541, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
13, 6, -0.01989, -0.12503, 1.64866, 0.61292, -0.02713, -0.78968, -0.7896, 0.01606, -0.61341, -1.00, 0.56623, 0.99457, 0.00746, 0.06623, -0.01989, -0.12503, 1.64866, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
14, 4, -0.0139, -0.12431, 1.6554, 0.73342, 0.11441, -0.67007, -0.66395, -0.09085, -0.74224, -1.00, 0.5545, 0.99457, 0.00136, 0.01728, -0.0139, -0.12431, 1.6554, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
15, 5, -0.01376, -0.12548, 1.65541, 0.73351, 0.11354, -0.67013, -0.66413, -0.08995, -0.74219, -1.00, 0.5545, 0.99665, 0.00909, 0.84666, -0.01376, -0.12548, 1.65541, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
16, 7, -0.01996, -0.12607, 1.64874, 0.61303, -0.02711, -0.78959, -0.78951, 0.01614, -0.61353, -1.00, 0.56623, 0.99665, 0.00566, 0.80162, -0.01996, -0.12607, 1.64874, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
17, 6, -0.01989, -0.12503, 1.64866, 0.61292, -0.02713, -0.78968, -0.7896, 0.01606, -0.61341, -1.00, 0.56623, 0.99457, 0.00746, 0.06623, -0.01989, -0.12503, 1.64866, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
18, 7, -0.01996, -0.12607, 1.64874, 0.61303, -0.02711, -0.78959, -0.78951, 0.01614, -0.61353, -1.00, 0.56623, 0.99665, 0.00566, 0.80162, -0.01996, -0.12607, 1.64874, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
19, 8, -0.02781, -0.12416, 1.6445, 0.29122, 0.01203, -0.95658, -0.93802, 0.20, -0.28306, -1.00, 0.57815, 0.99457, -0.0312, -0.01131, -0.02781, -0.12416, 1.6445, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
20, 6, -0.01989, -0.12503, 1.64866, 0.61292, -0.02713, -0.78968, -0.7896, 0.01606, -0.61341, -1.00, 0.56623, 0.99457, 0.00746, 0.06623, -0.01989, -0.12503, 1.64866, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
21, 7, -0.01996, -0.12607, 1.64874, 0.61303, -0.02711, -0.78959, -0.78951, 0.01614, -0.61353, -1.00, 0.56623, 0.99665, 0.00566, 0.80162, -0.01996, -0.12607, 1.64874, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
22, 9, -0.02802, -0.12528, 1.64441, 0.29303, 0.01138, -0.95604, -0.93777, 0.19831, -0.28507, -1.00, 0.57815, 0.99665, -0.0127, 0.79116, -0.02802, -0.12528, 1.64441, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
23, 8, -0.02781, -0.12416, 1.6445, 0.29122, 0.01203, -0.95658, -0.93802, 0.20, -0.28306, -1.00, 0.57815, 0.99457, -0.0312, -0.01131, -0.02781, -0.12416, 1.6445, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
24, 10, -0.03984, -0.12028, 1.64266, 0.11446, 0.08353, -0.98991, -0.92682, 0.3677, -0.07614, -1.00, 0.59512, 0.99457, 0.00834, 0.00185, -0.03984, -0.12028, 1.64266, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
25, 8, -0.02781, -0.12416, 1.6445, 0.29122, 0.01203, -0.95658, -0.93802, 0.20, -0.28306, -1.00, 0.57815, 0.99457, -0.0312, -0.01131, -0.02781, -0.12416, 1.6445, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
26, 9, -0.02802, -0.12528, 1.64441, 0.29303, 0.01138, -0.95604, -0.93777, 0.19831, -0.28507, -1.00, 0.57815, 0.99665, -0.0127, 0.79116, -0.02802, -0.12528, 1.64441, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
27, 10, -0.03984, -0.12028, 1.64266, 0.11446, 0.08353, -0.98991, -0.92682, 0.3677, -0.07614, -1.00, 0.59512, 0.99457, 0.00834, 0.00185, -0.03984, -0.12028, 1.64266, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
28, 9, -0.02802, -0.12528, 1.64441, 0.29303, 0.01138, -0.95604, -0.93777, 0.19831, -0.28507, -1.00, 0.57815, 0.99665, -0.0127, 0.79116, -0.02802, -0.12528, 1.64441, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
29, 11, -0.04024, -0.12131, 1.64253, 0.11422, 0.08365, -0.98993, -0.92674, 0.36797, -0.07584, -1.00, 0.59512, 0.99665, 0.00318, 0.81463, -0.04024, -0.12131, 1.64253, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
30, 12, -0.04921, -0.11586, 1.64277, 0.0127, 0.14241, -0.98973, -0.88037, 0.47092, 0.05647, -1.00, 0.60883, 0.99457, 0.01193, -0.00442, -0.04921, -0.11586, 1.64277, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
31, 10, -0.03984, -0.12028, 1.64266, 0.11446, 0.08353, -0.98991, -0.92682, 0.3677, -0.07614, -1.00, 0.59512, 0.99457, 0.00834, 0.00185, -0.03984, -0.12028, 1.64266, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
32, 11, -0.04024, -0.12131, 1.64253, 0.11422, 0.08365, -0.98993, -0.92674, 0.36797, -0.07584, -1.00, 0.59512, 0.99665, 0.00318, 0.81463, -0.04024, -0.12131, 1.64253, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
33, 12, -0.04921, -0.11586, 1.64277, 0.0127, 0.14241, -0.98973, -0.88037, 0.47092, 0.05647, -1.00, 0.60883, 0.99457, 0.01193, -0.00442, -0.04921, -0.11586, 1.64277, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
34, 11, -0.04024, -0.12131, 1.64253, 0.11422, 0.08365, -0.98993, -0.92674, 0.36797, -0.07584, -1.00, 0.59512, 0.99665, 0.00318, 0.81463, -0.04024, -0.12131, 1.64253, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
35, 13, -0.04975, -0.11682, 1.64261, 0.01204, 0.14288, -0.98967, -0.87993, 0.47162, 0.05738, -1.00, 0.60883, 0.99665, 0.00335, 0.81571, -0.04975, -0.11682, 1.64261, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
36, 14, -0.0548, -0.11252, 1.64361, -0.06776, 0.20676, -0.97604, -0.82613, 0.53688, 0.17108, -1.00, 0.61753, 0.99457, 0.00393, 0.00613, -0.0548, -0.11252, 1.64361, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
37, 12, -0.04921, -0.11586, 1.64277, 0.0127, 0.14241, -0.98973, -0.88037, 0.47092, 0.05647, -1.00, 0.60883, 0.99457, 0.01193, -0.00442, -0.04921, -0.11586, 1.64277, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
38, 13, -0.04975, -0.11682, 1.64261, 0.01204, 0.14288, -0.98967, -0.87993, 0.47162, 0.05738, -1.00, 0.60883, 0.99665, 0.00335, 0.81571, -0.04975, -0.11682, 1.64261, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
39, 14, -0.0548, -0.11252, 1.64361, -0.06776, 0.20676, -0.97604, -0.82613, 0.53688, 0.17108, -1.00, 0.61753, 0.99457, 0.00393, 0.00613, -0.0548, -0.11252, 1.64361, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
40, 13, -0.04975, -0.11682, 1.64261, 0.01204, 0.14288, -0.98967, -0.87993, 0.47162, 0.05738, -1.00, 0.60883, 0.99665, 0.00335, 0.81571, -0.04975, -0.11682, 1.64261, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
41, 15, -0.05541, -0.11343, 1.64347, -0.06755, 0.20655, -0.9761, -0.82636, 0.53664, 0.17074, -1.00, 0.61753, 0.99665, 0.00479, 0.82115, -0.05541, -0.11343, 1.64347, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
